candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Супрун Л.П,Житомирська,Zhytomyrska,0.29,11,691123
Супрун Л.П,Хмельницька,Khmelnytska,0.28,12,748056
Супрун Л.П,Київська,Kyivska,0.24,12,944893
Супрун Л.П,Вінницька,Vinnytska,0.23,13,899734
Супрун Л.П,Львівська,Lvivska,0.22,10,1475124
Супрун Л.П,Рівненська,Rivnenska,0.2,13,623112
Супрун Л.П,Тернопільська,Ternopilska,0.19,12,646679
Супрун Л.П,Закарпатська,Zakarpatska,0.17,15,540736
Супрун Л.П,м.Київ,Kyiv,0.16,15,1430356
Супрун Л.П,Харківська,Kharkivska,0.15,13,1455120
Супрун Л.П,Полтавська,Poltavska,0.14,15,803708
Супрун Л.П,Херсонська,Khersonska,0.12,13,538431
Супрун Л.П,Авт.Респ. Крим,Avtonomna Respublika Krym,0.11,12,981922
Супрун Л.П,Миколаївська,Mykolaivska,0.08,15,601126
Супрун Л.П,Запорізька,Zaporizka,0.07,15,1010500
Супрун Л.П,Одеська,Odeska,0.07,15,1160126
Супрун Л.П,Дніпропетровська,Dnipropetrovska,0.07,15,1833458
Супрун Л.П,Луганська,Luhanska,0.04,14,1313664
Супрун Л.П,Донецька,Donetska,0.03,14,2439002
Тігіпко С.Л,Дніпропетровська,Dnipropetrovska,22.48,2,1833458
Тігіпко С.Л,Одеська,Odeska,21.13,2,1160126
Тігіпко С.Л,м.Київ,Kyiv,18.95,2,1430356
Тігіпко С.Л,Харківська,Kharkivska,18.81,2,1455120
Тігіпко С.Л,Запорізька,Zaporizka,17.68,2,1010500
Тігіпко С.Л,Херсонська,Khersonska,15.5,3,538431
Тігіпко С.Л,Київська,Kyivska,15.35,3,944893
Тігіпко С.Л,м.Севастополь,Sevastopilska,15.12,2,204145
Тігіпко С.Л,Кіровоградська,Kirovohradska,14.5,3,508754
Тігіпко С.Л,Сумська,Sumska,14.47,3,627338
Тігіпко С.Л,Житомирська,Zhytomyrska,13.48,3,691123
Тігіпко С.Л,Миколаївська,Mykolaivska,13.42,3,601126
Тігіпко С.Л,Чернігівська,Chernihivska,13.35,3,602599
Тігіпко С.Л,Хмельницька,Khmelnytska,13.22,3,748056
Тігіпко С.Л,Черкаська,Cherkaska,12.88,3,681265
Тігіпко С.Л,Полтавська,Poltavska,12.25,3,803708
Тігіпко С.Л,Вінницька,Vinnytska,11.2,3,899734
Тігіпко С.Л,Авт.Респ. Крим,Avtonomna Respublika Krym,10.97,3,981922
Тігіпко С.Л,Рівненська,Rivnenska,10.68,3,623112
Тігіпко С.Л,Волинська,Volynska,10.15,2,586568
Тігіпко С.Л,Закарпатська,Zakarpatska,10.0,4,540736
Тігіпко С.Л,Луганська,Luhanska,9.46,2,1313664
Тігіпко С.Л,Чернівецька,Chernivetska,8.85,4,434568
Тігіпко С.Л,Донецька,Donetska,7.21,2,2439002
Тігіпко С.Л,Тернопільська,Ternopilska,4.8,6,646679
Тігіпко С.Л,Львівська,Lvivska,4.77,6,1475124
Тігіпко С.Л,Івано-Франківська,Ivano-Frankivska,4.36,6,774146
Тимошенко Ю.В,Волинська,Volynska,53.78,1,586568
Тимошенко Ю.В,Вінницька,Vinnytska,46.9,1,899734
Тимошенко Ю.В,Рівненська,Rivnenska,43.85,1,623112
Тимошенко Ю.В,Чернігівська,Chernihivska,42.74,1,602599
Тимошенко Ю.В,Київська,Kyivska,42.29,1,944893
Тимошенко Ю.В,Черкаська,Cherkaska,41.21,1,681265
Тимошенко Ю.В,Хмельницька,Khmelnytska,40.06,1,748056
Тимошенко Ю.В,Івано-Франківська,Ivano-Frankivska,38.98,1,774146
Тимошенко Ю.В,Сумська,Sumska,36.78,1,627338
Тимошенко Ю.В,м.Київ,Kyiv,35.74,1,1430356
Тимошенко Ю.В,Тернопільська,Ternopilska,35.67,1,646679
Тимошенко Ю.В,Львівська,Lvivska,34.7,1,1475124
Тимошенко Ю.В,Кіровоградська,Kirovohradska,34.58,1,508754
Тимошенко Ю.В,Житомирська,Zhytomyrska,32.64,1,691123
Тимошенко Ю.В,Чернівецька,Chernivetska,32.31,1,434568
Тимошенко Ю.В,Полтавська,Poltavska,32.02,1,803708
Тимошенко Ю.В,Закарпатська,Zakarpatska,26.23,2,540736
Тимошенко Ю.В,Херсонська,Khersonska,19.33,2,538431
Тимошенко Ю.В,Дніпропетровська,Dnipropetrovska,14.78,3,1833458
Тимошенко Ю.В,Миколаївська,Mykolaivska,13.53,2,601126
Тимошенко Ю.В,Запорізька,Zaporizka,12.26,3,1010500
Тимошенко Ю.В,Авт.Респ. Крим,Avtonomna Respublika Krym,11.96,2,981922
Тимошенко Ю.В,Харківська,Kharkivska,10.68,3,1455120
Тимошенко Ю.В,Одеська,Odeska,10.18,3,1160126
Тимошенко Ю.В,м.Севастополь,Sevastopilska,6.52,4,204145
Тимошенко Ю.В,Луганська,Luhanska,6.51,3,1313664
Тимошенко Ю.В,Донецька,Donetska,4.32,3,2439002
Тягнибок О.Я,Львівська,Lvivska,5.35,5,1475124
Тягнибок О.Я,Івано-Франківська,Ivano-Frankivska,4.95,5,774146
Тягнибок О.Я,Тернопільська,Ternopilska,4.89,5,646679
Тягнибок О.Я,Волинська,Volynska,3.31,7,586568
Тягнибок О.Я,Рівненська,Rivnenska,2.7,7,623112
Тягнибок О.Я,м.Київ,Kyiv,1.93,9,1430356
Тягнибок О.Я,Хмельницька,Khmelnytska,1.7,8,748056
Тягнибок О.Я,Київська,Kyivska,1.56,8,944893
Тягнибок О.Я,Черкаська,Cherkaska,1.26,9,681265
Тягнибок О.Я,Вінницька,Vinnytska,1.26,9,899734
Тягнибок О.Я,Полтавська,Poltavska,1.21,8,803708
Тягнибок О.Я,Чернівецька,Chernivetska,1.18,8,434568
Тягнибок О.Я,Закарпатська,Zakarpatska,1.02,11,540736
Тягнибок О.Я,Житомирська,Zhytomyrska,0.99,8,691123
Тягнибок О.Я,Чернігівська,Chernihivska,0.81,9,602599
Тягнибок О.Я,Сумська,Sumska,0.79,9,627338
